user_pseudo_id,category,country,subscription_start,subscription_end,cohort_start,cohort_end,Difference,Weeks,Unique,w0,w1,w2,w3,w4,w5,w6
2308925.446735880,desktop,United States,2020-11-22,2020-11-30,2020-11-22,2020-12-06,2,w1,,,,,,,,
1484942.990767800,desktop,Mexico,2020-11-22,2020-11-30,2020-11-22,2020-12-06,2,w1,,,,,,,,
1485850.590431190,desktop,United Kingdom,2020-11-22,2020-11-30,2020-11-22,2020-12-06,2,w1,,,,,,,,
1590652.672614970,desktop,United States,2020-11-29,2020-11-30,2020-11-29,2020-12-06,1,w0,,,,,,,,
1724436.934927480,mobile,India,2020-11-29,2020-11-30,2020-11-29,2020-12-06,1,w0,,,,,,,,
1142826.613199330,mobile,Canada,2020-11-01,2020-12-01,2020-11-01,2020-12-06,5,w4,,,,,,,,
1478811.556390930,desktop,United States,2020-11-08,2020-12-01,2020-11-08,2020-12-06,4,w3,,,,,,,,
1077731.361780080,mobile,India,2020-11-15,2020-12-01,2020-11-15,2020-12-06,3,w2,,,,,,,,
1490250.327151560,desktop,India,2020-11-22,2020-12-01,2020-11-22,2020-12-06,2,w1,,,,,,,,
1118506.808766350,mobile,United States,2020-11-29,2020-12-01,2020-11-29,2020-12-06,1,w0,,,,,,,,
1518727.616189450,desktop,Italy,2020-11-29,2020-12-01,2020-11-29,2020-12-06,1,w0,,,,,,,,
1151520.438702470,desktop,Canada,2020-11-01,2020-12-02,2020-11-01,2020-12-06,5,w4,,,,,,,,
1156447.252395200,mobile,United States,2020-11-01,2020-12-02,2020-11-01,2020-12-06,5,w4,,,,,,,,
1200331.627902270,desktop,Australia,2020-11-08,2020-12-02,2020-11-08,2020-12-06,4,w3,,,,,,,,
1092411.820093430,mobile,India,2020-11-15,2020-12-02,2020-11-15,2020-12-06,3,w2,,,,,,,,
1520710.199154010,tablet,United States,2020-11-22,2020-12-02,2020-11-22,2020-12-06,2,w1,,,,,,,,
1169437.553221330,desktop,United States,2020-11-01,2020-12-03,2020-11-01,2020-12-06,5,w4,,,,,,,,
1248439.864341380,desktop,India,2020-11-08,2020-12-03,2020-11-08,2020-12-06,4,w3,,,,,,,,
1097746.086501470,desktop,United States,2020-11-15,2020-12-03,2020-11-15,2020-12-06,3,w2,,,,,,,,
1537484.158557160,desktop,Canada,2020-11-22,2020-12-03,2020-11-22,2020-12-06,2,w1,,,,,,,,
1180921.165843540,desktop,Portugal,2020-11-01,2020-12-04,2020-11-01,2020-12-06,5,w4,,,,,,,,
1296227.371541750,desktop,United States,2020-11-08,2020-12-04,2020-11-08,2020-12-06,4,w3,,,,,,,,
1103734.146371730,desktop,United States,2020-11-15,2020-12-04,2020-11-15,2020-12-06,3,w2,,,,,,,,
1545622.852865990,mobile,United States,2020-11-22,2020-12-04,2020-11-22,2020-12-06,2,w1,,,,,,,,
1554067.675991520,desktop,Taiwan,2020-11-22,2020-12-04,2020-11-22,2020-12-06,2,w1,,,,,,,,
1132393.425019610,mobile,United States,2020-11-15,2020-12-05,2020-11-15,2020-12-06,3,w2,,,,,,,,
1561271.718211810,mobile,China,2020-11-22,2020-12-05,2020-11-22,2020-12-06,2,w1,,,,,,,,
1641158.535748200,mobile,United States,2020-11-29,2020-12-05,2020-11-29,2020-12-06,1,w0,,,,,,,,
1452937.818730190,mobile,United States,2020-11-01,2020-12-07,2020-11-01,2020-12-13,6,w5,,,,,,,,
1734629.485272360,desktop,Ireland,2020-11-08,2020-12-07,2020-11-08,2020-12-13,5,w4,,,,,,,,
1134454.965437670,desktop,Brazil,2020-11-15,2020-12-07,2020-11-15,2020-12-13,4,w3,,,,,,,,
1575436.581522090,mobile,Finland,2020-11-22,2020-12-07,2020-11-22,2020-12-13,3,w2,,,,,,,,
1577255.510466440,desktop,Philippines,2020-11-22,2020-12-07,2020-11-22,2020-12-13,3,w2,,,,,,,,
1577832.196356950,desktop,Argentina,2020-11-22,2020-12-07,2020-11-22,2020-12-13,3,w2,,,,,,,,
1145919.802314720,mobile,United States,2020-11-29,2020-12-07,2020-11-29,2020-12-13,2,w1,,,,,,,,
1019755.150599040,desktop,United States,2020-12-06,2020-12-07,2020-12-06,2020-12-13,1,w0,,,,,,,,
1030532.880086650,desktop,United States,2020-12-06,2020-12-07,2020-12-06,2020-12-13,1,w0,,,,,,,,
1039112.585388200,mobile,Serbia,2020-12-06,2020-12-07,2020-12-06,2020-12-13,1,w0,,,,,,,,
1085207.380778270,mobile,Uruguay,2020-12-06,2020-12-07,2020-12-06,2020-12-13,1,w0,,,,,,,,
1459546.631526380,mobile,United States,2020-11-01,2020-12-08,2020-11-01,2020-12-13,6,w5,,,,,,,,
1741035.709442200,mobile,United States,2020-11-08,2020-12-08,2020-11-08,2020-12-13,5,w4,,,,,,,,
1139355.369664940,tablet,United States,2020-11-15,2020-12-08,2020-11-15,2020-12-13,4,w3,,,,,,,,
1156590.008127720,desktop,Germany,2020-11-15,2020-12-08,2020-11-15,2020-12-13,4,w3,,,,,,,,
1599456.178945220,desktop,United States,2020-11-22,2020-12-08,2020-11-22,2020-12-13,3,w2,,,,,,,,
1609407.155068800,desktop,Chile,2020-11-22,2020-12-08,2020-11-22,2020-12-13,3,w2,,,,,,,,
1630763.639910590,desktop,United Kingdom,2020-11-22,2020-12-08,2020-11-22,2020-12-13,3,w2,,,,,,,,
1668813.761210540,mobile,United States,2020-11-22,2020-12-08,2020-11-22,2020-12-13,3,w2,,,,,,,,
1676676.776218210,desktop,India,2020-11-22,2020-12-08,2020-11-22,2020-12-13,3,w2,,,,,,,,
1682325.291310990,desktop,United States,2020-11-22,2020-12-08,2020-11-22,2020-12-13,3,w2,,,,,,,,
1404771.186024120,mobile,United States,2020-11-29,2020-12-08,2020-11-29,2020-12-13,2,w1,,,,,,,,
1456690.827128620,desktop,United States,2020-12-06,2020-12-08,2020-12-06,2020-12-13,1,w0,,,,,,,,
1463692.689129480,mobile,Germany,2020-11-01,2020-12-09,2020-11-01,2020-12-13,6,w5,,,,,,,,
1510286.755056780,mobile,United States,2020-11-01,2020-12-09,2020-11-01,2020-12-13,6,w5,,,,,,,,
1758086.876850690,mobile,United States,2020-11-08,2020-12-09,2020-11-08,2020-12-13,5,w4,,,,,,,,
1159522.028072130,mobile,United States,2020-11-15,2020-12-09,2020-11-15,2020-12-13,4,w3,,,,,,,,
1683058.222707430,mobile,Taiwan,2020-11-22,2020-12-09,2020-11-22,2020-12-13,3,w2,,,,,,,,
1020085.409804910,mobile,Macao,2020-11-29,2020-12-09,2020-11-29,2020-12-13,2,w1,,,,,,,,
1665847.230832890,desktop,United States,2020-12-06,2020-12-09,2020-12-06,2020-12-13,1,w0,,,,,,,,
1827510.171602820,desktop,United States,2020-12-06,2020-12-09,2020-12-06,2020-12-13,1,w0,,,,,,,,
1474295.160391140,desktop,United States,2020-11-01,2020-12-10,2020-11-01,2020-12-13,6,w5,,,,,,,,
1511634.455651670,mobile,United States,2020-11-01,2020-12-10,2020-11-01,2020-12-13,6,w5,,,,,,,,
1778202.596732850,desktop,India,2020-11-08,2020-12-10,2020-11-08,2020-12-13,5,w4,,,,,,,,
1166336.876251840,desktop,South Africa,2020-11-15,2020-12-10,2020-11-15,2020-12-13,4,w3,,,,,,,,
1683979.992266510,mobile,United States,2020-11-22,2020-12-10,2020-11-22,2020-12-13,3,w2,,,,,,,,
1027505.650240400,desktop,Slovakia,2020-11-29,2020-12-10,2020-11-29,2020-12-13,2,w1,,,,,,,,
1438269.216152700,desktop,Croatia,2020-12-06,2020-12-10,2020-12-06,2020-12-13,1,w0,,,,,,,,
1891607.632407690,desktop,United States,2020-12-06,2020-12-10,2020-12-06,2020-12-13,1,w0,,,,,,,,
1479672.513385370,mobile,United States,2020-11-01,2020-12-11,2020-11-01,2020-12-13,6,w5,,,,,,,,
1184762.858650660,desktop,United States,2020-11-15,2020-12-11,2020-11-15,2020-12-13,4,w3,,,,,,,,
1684993.156087200,desktop,United States,2020-11-22,2020-12-11,2020-11-22,2020-12-13,3,w2,,,,,,,,
1037270.653563100,desktop,Canada,2020-11-29,2020-12-11,2020-11-29,2020-12-13,2,w1,,,,,,,,
1539940.525361040,mobile,Canada,2020-12-06,2020-12-11,2020-12-06,2020-12-13,1,w0,,,,,,,,
1484033.118399020,desktop,United States,2020-11-01,2020-12-12,2020-11-01,2020-12-13,6,w5,,,,,,,,
1767608.529383290,desktop,Costa Rica,2020-11-22,2020-12-12,2020-11-22,2020-12-13,3,w2,,,,,,,,
1055118.840152550,mobile,Canada,2020-11-29,2020-12-12,2020-11-29,2020-12-13,2,w1,,,,,,,,
1055763.850426200,desktop,India,2020-11-29,2020-12-12,2020-11-29,2020-12-13,2,w1,,,,,,,,
1297430.741911230,mobile,United States,2020-12-13,,2020-12-13,2020-12-20,1,w0,,,,,,,,
1181275.478275290,mobile,India,2020-11-01,,2020-11-01,2020-12-20,7,w6,,,,,,,,
1303239.607718080,desktop,Ireland,2020-11-01,,2020-11-01,2020-12-20,7,w6,,,,,,,,
1529761.004938850,mobile,China,2020-11-01,,2020-11-01,2020-12-20,7,w6,,,,,,,,
1421531.272614250,desktop,Chile,2020-11-01,,2020-11-01,2020-12-20,7,w6,,,,,,,,
1025449.058385840,desktop,Spain,2020-11-01,,2020-11-01,2020-12-20,7,w6,,,,,,,,
1264630.483708840,desktop,Canada,2020-11-01,,2020-11-01,2020-12-20,7,w6,,,,,,,,
1021793.738183900,tablet,United States,2020-11-01,,2020-11-01,2020-12-20,7,w6,,,,,,,,
1038168.379313070,desktop,United States,2020-11-01,,2020-11-01,2020-12-20,7,w6,,,,,,,,
1041501.642342230,desktop,United States,2020-11-01,,2020-11-01,2020-12-20,7,w6,,,,,,,,
1055429.253966610,desktop,United States,2020-11-01,,2020-11-01,2020-12-20,7,w6,,,,,,,,
1059048.109785280,desktop,India,2020-11-01,,2020-11-01,2020-12-20,7,w6,,,,,,,,
1061353.240131240,desktop,Japan,2020-11-01,,2020-11-01,2020-12-20,7,w6,,,,,,,,
1068962.242231970,desktop,Turkey,2020-11-01,,2020-11-01,2020-12-20,7,w6,,,,,,,,
1076509.689604920,desktop,United States,2020-11-01,,2020-11-01,2020-12-20,7,w6,,,,,,,,
1083435.578628540,desktop,United States,2020-11-01,,2020-11-01,2020-12-20,7,w6,,,,,,,,
1120828.745035190,tablet,Italy,2020-11-01,,2020-11-01,2020-12-20,7,w6,,,,,,,,
1124403.862062800,desktop,United States,2020-11-01,,2020-11-01,2020-12-20,7,w6,,,,,,,,
1127534.637427230,desktop,United States,2020-11-01,,2020-11-01,2020-12-20,7,w6,,,,,,,,
1131277.232379950,mobile,Canada,2020-11-01,,2020-11-01,2020-12-20,7,w6,,,,,,,,
1131911.149559130,mobile,United States,2020-11-01,,2020-11-01,2020-12-20,7,w6,,,,,,,,
1133103.259962660,desktop,United States,2020-11-01,,2020-11-01,2020-12-20,7,w6,,,,,,,,
1181621.901830100,desktop,India,2020-11-01,,2020-11-01,2020-12-20,7,w6,,,,,,,,
1192565.363493720,desktop,India,2020-11-01,,2020-11-01,2020-12-20,7,w6,,,,,,,,
1200411.350618670,desktop,United States,2020-11-01,,2020-11-01,2020-12-20,7,w6,,,,,,,,
1202440.233227650,desktop,Canada,2020-11-01,,2020-11-01,2020-12-20,7,w6,,,,,,,,
1210485.829735150,desktop,Poland,2020-11-01,,2020-11-01,2020-12-20,7,w6,,,,,,,,
1213541.172504390,desktop,United Kingdom,2020-11-01,,2020-11-01,2020-12-20,7,w6,,,,,,,,
1239328.599681580,desktop,Turkey,2020-11-01,,2020-11-01,2020-12-20,7,w6,,,,,,,,
1247189.469436790,desktop,Canada,2020-11-01,,2020-11-01,2020-12-20,7,w6,,,,,,,,
1259482.380788160,desktop,Mexico,2020-11-01,,2020-11-01,2020-12-20,7,w6,,,,,,,,
1314633.320036160,mobile,Mexico,2020-11-01,,2020-11-01,2020-12-20,7,w6,,,,,,,,
1323250.751355680,mobile,South Africa,2020-11-01,,2020-11-01,2020-12-20,7,w6,,,,,,,,
1323679.336454350,mobile,Hong Kong,2020-11-01,,2020-11-01,2020-12-20,7,w6,,,,,,,,
1326237.642553860,mobile,Czechia,2020-11-01,,2020-11-01,2020-12-20,7,w6,,,,,,,,
1338058.601276380,mobile,United States,2020-11-01,,2020-11-01,2020-12-20,7,w6,,,,,,,,
1338949.619670550,desktop,United States,2020-11-01,,2020-11-01,2020-12-20,7,w6,,,,,,,,
1343580.608356520,desktop,India,2020-11-01,,2020-11-01,2020-12-20,7,w6,,,,,,,,
1358307.350675230,mobile,Australia,2020-11-01,,2020-11-01,2020-12-20,7,w6,,,,,,,,
1369675.302965040,desktop,Argentina,2020-11-01,,2020-11-01,2020-12-20,7,w6,,,,,,,,
1370781.713859220,desktop,India,2020-11-01,,2020-11-01,2020-12-20,7,w6,,,,,,,,
1376694.167279390,desktop,Canada,2020-11-01,,2020-11-01,2020-12-20,7,w6,,,,,,,,
1390791.775430650,mobile,United States,2020-11-01,,2020-11-01,2020-12-20,7,w6,,,,,,,,
1391276.870565950,desktop,India,2020-11-01,,2020-11-01,2020-12-20,7,w6,,,,,,,,
1392086.625662370,desktop,United Kingdom,2020-11-01,,2020-11-01,2020-12-20,7,w6,,,,,,,,
1405798.396626520,desktop,Indonesia,2020-11-01,,2020-11-01,2020-12-20,7,w6,,,,,,,,
1409853.191727770,mobile,United States,2020-11-01,,2020-11-01,2020-12-20,7,w6,,,,,,,,
1413832.536952380,mobile,United States,2020-11-01,,2020-11-01,2020-12-20,7,w6,,,,,,,,
1426415.910495160,desktop,France,2020-11-01,,2020-11-01,2020-12-20,7,w6,,,,,,,,
1437546.556360570,mobile,Germany,2020-11-01,,2020-11-01,2020-12-20,7,w6,,,,,,,,
1452335.508385740,desktop,Japan,2020-11-01,,2020-11-01,2020-12-20,7,w6,,,,,,,,
1494018.518313370,desktop,Canada,2020-11-01,,2020-11-01,2020-12-20,7,w6,,,,,,,,
1494049.380559040,desktop,United States,2020-11-01,,2020-11-01,2020-12-20,7,w6,,,,,,,,
1508851.397532640,mobile,United Kingdom,2020-11-01,,2020-11-01,2020-12-20,7,w6,,,,,,,,
1535812.672246920,desktop,Germany,2020-11-01,,2020-11-01,2020-12-20,7,w6,,,,,,,,
1556928.930570590,mobile,United States,2020-11-01,,2020-11-01,2020-12-20,7,w6,,,,,,,,
1557095.174693880,mobile,United States,2020-11-01,,2020-11-01,2020-12-20,7,w6,,,,,,,,
1558339.643068090,mobile,United States,2020-11-01,,2020-11-01,2020-12-20,7,w6,,,,,,,,
1573028.082192390,tablet,United States,2020-11-01,,2020-11-01,2020-12-20,7,w6,,,,,,,,
1583021.205373730,mobile,France,2020-11-01,,2020-11-01,2020-12-20,7,w6,,,,,,,,
1592448.442924590,desktop,United States,2020-11-01,,2020-11-01,2020-12-20,7,w6,,,,,,,,
1611443.384085780,desktop,Ireland,2020-11-01,,2020-11-01,2020-12-20,7,w6,,,,,,,,
1612497.433226930,mobile,United Kingdom,2020-11-01,,2020-11-01,2020-12-20,7,w6,,,,,,,,
1613659.684911560,desktop,Canada,2020-11-01,,2020-11-01,2020-12-20,7,w6,,,,,,,,
1641407.912385240,desktop,Turkey,2020-11-01,,2020-11-01,2020-12-20,7,w6,,,,,,,,
1654393.515432210,desktop,United States,2020-11-01,,2020-11-01,2020-12-20,7,w6,,,,,,,,
1664623.179737630,mobile,Canada,2020-11-01,,2020-11-01,2020-12-20,7,w6,,,,,,,,
1670164.005007910,mobile,Indonesia,2020-11-01,,2020-11-01,2020-12-20,7,w6,,,,,,,,
1677916.418782420,mobile,United States,2020-11-01,,2020-11-01,2020-12-20,7,w6,,,,,,,,
1680690.070652450,desktop,United States,2020-11-01,,2020-11-01,2020-12-20,7,w6,,,,,,,,
1685028.727557250,desktop,Pakistan,2020-11-01,,2020-11-01,2020-12-20,7,w6,,,,,,,,
1701274.166821980,mobile,Canada,2020-11-01,,2020-11-01,2020-12-20,7,w6,,,,,,,,
1707104.926844580,mobile,United States,2020-11-01,,2020-11-01,2020-12-20,7,w6,,,,,,,,
1197804.175277420,desktop,United States,2020-11-08,,2020-11-08,2020-12-20,6,w5,,,,,,,,
1326642.708030080,desktop,Peru,2020-11-08,,2020-11-08,2020-12-20,6,w5,,,,,,,,
1443366.829237710,desktop,United States,2020-11-08,,2020-11-08,2020-12-20,6,w5,,,,,,,,
1717204.766328020,desktop,United States,2020-11-08,,2020-11-08,2020-12-20,6,w5,,,,,,,,
1788923.892624640,desktop,China,2020-11-08,,2020-11-08,2020-12-20,6,w5,,,,,,,,
1805300.600417250,desktop,France,2020-11-08,,2020-11-08,2020-12-20,6,w5,,,,,,,,
1806039.573747340,desktop,India,2020-11-08,,2020-11-08,2020-12-20,6,w5,,,,,,,,
1809991.618371240,mobile,Czechia,2020-11-08,,2020-11-08,2020-12-20,6,w5,,,,,,,,
1817570.139634910,mobile,Brazil,2020-11-08,,2020-11-08,2020-12-20,6,w5,,,,,,,,
1818164.591351700,desktop,United States,2020-11-08,,2020-11-08,2020-12-20,6,w5,,,,,,,,
1818616.298680650,tablet,Bahrain,2020-11-08,,2020-11-08,2020-12-20,6,w5,,,,,,,,
1821017.922738960,desktop,United States,2020-11-08,,2020-11-08,2020-12-20,6,w5,,,,,,,,
1832198.022699630,desktop,United States,2020-11-08,,2020-11-08,2020-12-20,6,w5,,,,,,,,
1838662.894086040,desktop,United States,2020-11-08,,2020-11-08,2020-12-20,6,w5,,,,,,,,
1839173.495273500,tablet,Spain,2020-11-08,,2020-11-08,2020-12-20,6,w5,,,,,,,,
1854579.135508540,mobile,United States,2020-11-08,,2020-11-08,2020-12-20,6,w5,,,,,,,,
1859374.354779880,desktop,Canada,2020-11-08,,2020-11-08,2020-12-20,6,w5,,,,,,,,
1862350.355490550,mobile,United States,2020-11-08,,2020-11-08,2020-12-20,6,w5,,,,,,,,
1877824.847004680,desktop,Lebanon,2020-11-08,,2020-11-08,2020-12-20,6,w5,,,,,,,,
1889753.176328890,desktop,France,2020-11-08,,2020-11-08,2020-12-20,6,w5,,,,,,,,
1899446.976229370,mobile,United States,2020-11-08,,2020-11-08,2020-12-20,6,w5,,,,,,,,
1174860.732083990,desktop,United States,2020-11-08,,2020-11-08,2020-12-20,6,w5,,,,,,,,
1196539.393262130,mobile,United States,2020-11-08,,2020-11-08,2020-12-20,6,w5,,,,,,,,
1219682.402139500,mobile,United Kingdom,2020-11-08,,2020-11-08,2020-12-20,6,w5,,,,,,,,
1227277.123601420,mobile,Colombia,2020-11-08,,2020-11-08,2020-12-20,6,w5,,,,,,,,
1237865.362412170,mobile,Japan,2020-11-08,,2020-11-08,2020-12-20,6,w5,,,,,,,,
1267590.872467670,desktop,United States,2020-11-08,,2020-11-08,2020-12-20,6,w5,,,,,,,,
1289579.350884330,desktop,Indonesia,2020-11-08,,2020-11-08,2020-12-20,6,w5,,,,,,,,
1289610.985996700,desktop,United States,2020-11-08,,2020-11-08,2020-12-20,6,w5,,,,,,,,
1359571.254280770,desktop,United States,2020-11-08,,2020-11-08,2020-12-20,6,w5,,,,,,,,
1361186.682636400,mobile,India,2020-11-08,,2020-11-08,2020-12-20,6,w5,,,,,,,,
1365518.320092190,desktop,United States,2020-11-08,,2020-11-08,2020-12-20,6,w5,,,,,,,,
1368841.559500160,desktop,India,2020-11-08,,2020-11-08,2020-12-20,6,w5,,,,,,,,
1449712.309892470,desktop,Canada,2020-11-08,,2020-11-08,2020-12-20,6,w5,,,,,,,,
1469737.268196560,desktop,Brazil,2020-11-08,,2020-11-08,2020-12-20,6,w5,,,,,,,,
1474915.760337870,desktop,Italy,2020-11-08,,2020-11-08,2020-12-20,6,w5,,,,,,,,
1480507.133686920,desktop,United States,2020-11-08,,2020-11-08,2020-12-20,6,w5,,,,,,,,
1497949.927850010,desktop,Indonesia,2020-11-08,,2020-11-08,2020-12-20,6,w5,,,,,,,,
1499070.877683430,desktop,Canada,2020-11-08,,2020-11-08,2020-12-20,6,w5,,,,,,,,
1530401.440370930,desktop,Germany,2020-11-08,,2020-11-08,2020-12-20,6,w5,,,,,,,,
1533037.073363330,desktop,United States,2020-11-08,,2020-11-08,2020-12-20,6,w5,,,,,,,,
1579147.709470640,mobile,United States,2020-11-08,,2020-11-08,2020-12-20,6,w5,,,,,,,,
1593456.453504170,mobile,Poland,2020-11-08,,2020-11-08,2020-12-20,6,w5,,,,,,,,
1612986.541552490,desktop,United States,2020-11-08,,2020-11-08,2020-12-20,6,w5,,,,,,,,
1626651.976969340,mobile,Singapore,2020-11-08,,2020-11-08,2020-12-20,6,w5,,,,,,,,
1634679.323224760,mobile,Taiwan,2020-11-08,,2020-11-08,2020-12-20,6,w5,,,,,,,,
1641107.178532180,desktop,United States,2020-11-08,,2020-11-08,2020-12-20,6,w5,,,,,,,,
1659071.782667760,desktop,Germany,2020-11-08,,2020-11-08,2020-12-20,6,w5,,,,,,,,
1672367.896910670,desktop,United States,2020-11-08,,2020-11-08,2020-12-20,6,w5,,,,,,,,
1672858.899129120,mobile,United States,2020-11-08,,2020-11-08,2020-12-20,6,w5,,,,,,,,
1688920.265483030,desktop,Japan,2020-11-08,,2020-11-08,2020-12-20,6,w5,,,,,,,,
1703029.383442810,mobile,United Kingdom,2020-11-08,,2020-11-08,2020-12-20,6,w5,,,,,,,,
1712680.402759570,mobile,United States,2020-11-08,,2020-11-08,2020-12-20,6,w5,,,,,,,,
2149797.160264030,desktop,United States,2020-11-08,,2020-11-08,2020-12-20,6,w5,,,,,,,,
2173971.484350580,mobile,Thailand,2020-11-08,,2020-11-08,2020-12-20,6,w5,,,,,,,,
2174764.701153550,desktop,United States,2020-11-08,,2020-11-08,2020-12-20,6,w5,,,,,,,,
2176099.375234230,desktop,Mexico,2020-11-08,,2020-11-08,2020-12-20,6,w5,,,,,,,,
2193075.380740510,desktop,Poland,2020-11-08,,2020-11-08,2020-12-20,6,w5,,,,,,,,
2215981.321273320,desktop,United States,2020-11-08,,2020-11-08,2020-12-20,6,w5,,,,,,,,
2218360.622277410,mobile,Greece,2020-11-08,,2020-11-08,2020-12-20,6,w5,,,,,,,,
2219347.485025920,mobile,Taiwan,2020-11-08,,2020-11-08,2020-12-20,6,w5,,,,,,,,
2223530.551430360,desktop,Spain,2020-11-08,,2020-11-08,2020-12-20,6,w5,,,,,,,,
2223836.461608750,desktop,United States,2020-11-08,,2020-11-08,2020-12-20,6,w5,,,,,,,,
2230783.209275440,desktop,India,2020-11-08,,2020-11-08,2020-12-20,6,w5,,,,,,,,
2270892.606804190,mobile,United States,2020-11-08,,2020-11-08,2020-12-20,6,w5,,,,,,,,
2278212.001322250,mobile,Italy,2020-11-08,,2020-11-08,2020-12-20,6,w5,,,,,,,,
2290011.341713020,tablet,Italy,2020-11-08,,2020-11-08,2020-12-20,6,w5,,,,,,,,
2294493.489982980,desktop,United States,2020-11-08,,2020-11-08,2020-12-20,6,w5,,,,,,,,
